iter	Passed	Remaining
1096	60125	49492
1097	60172	49431
1098	60222	49372
1099	60282	49322
1100	60343	49272
1101	60391	49211
1102	60449	49159
1103	60499	49100
1104	60550	49043
1105	60601	48985
1106	60659	48932
1107	60719	48882
1108	60767	48822
1109	60818	48764
1110	60867	48705
1111	60917	48646
1112	60976	48594
1113	61036	48544
1114	61105	48500
1115	61157	48443
1116	61213	48390
1117	61269	48336
1118	61330	48286
1119	61378	48226
1120	61429	48168
1121	61487	48116
1122	61542	48061
1123	61589	48000
1124	61641	47943
1125	61699	47891
1126	61746	47830
1127	61805	47778
1128	61857	47721
1129	61917	47671
1130	61968	47613
1131	62019	47555
1132	62083	47507
1133	62147	47460
1134	62201	47404
1135	62254	47348
1136	62313	47296
1137	62375	47247
1138	62423	47187
1139	62479	47133
1140	62542	47085
1141	62596	47029
1142	62651	46974
1143	62713	46925
1144	62773	46874
1145	62820	46813
1146	62874	46758
1147	62930	46704
1148	62980	46646
1149	63030	46588
1150	63107	46549
1151	63157	46490
1152	63209	46433
1153	63269	46382
1154	63318	46324
1155	63371	46267
1156	63431	46216
1157	63481	46158
1158	63549	46113
1159	63598	46054
1160	63650	45997
1161	63709	45945
1162	63759	45886
1163	63817	45834
1164	63879	45784
1165	63927	45725
1166	63983	45671
1167	64034	45613
1168	64085	45556
1169	64161	45516
1170	64212	45458
1171	64267	45404
1172	64321	45348
1173	64374	45292
1174	64433	45240
1175	64481	45180
1176	64531	45122
1177	64585	45067
1178	64671	45034
1179	64765	45006
1180	64805	44941
1181	64854	44882
1182	64914	44831
1183	64964	44773
1184	65017	44716
1185	65074	44663
1186	65137	44613
1187	65188	44556
1188	65244	44502
1189	65299	44447
1190	65360	44396
1191	65409	44338
1192	65469	44286
1193	65519	44228
1194	65575	44174
1195	65631	44119
1196	65683	44063
1197	65738	44008
1198	65793	43953
1199	65853	43902
1200	65912	43850
1201	65961	43791
1202	66020	43739
1203	66077	43685
1204	66127	43627
1205	66241	43611
1206	66293	43554
1207	66343	43496
1208	66401	43443
1209	66461	43392
1210	66511	43334
1211	66568	43280
1212	66619	43222
1213	66678	43170
1214	66730	43113
1215	66784	43058
1216	66842	43005
1217	66904	42955
1218	66957	42898
1219	67008	42841
1220	67068	42790
1221	67129	42738
1222	67178	42680
1223	67264	42644
1224	67315	42587
1225	67373	42534
1226	67426	42477
1227	67477	42420
1228	67526	42362
1229	67576	42304
1230	67634	42250
1231	67687	42194
1232	67734	42134
1233	67784	42076
1234	67842	42023
1235	67889	41964
1236	67947	41911
1237	68009	41860
1238	68057	41801
1239	68108	41744
1240	68171	41694
1241	68245	41650
1242	68295	41592
1243	68354	41540
1244	68415	41488
1245	68462	41429
1246	68521	41376
1247	68581	41324
1248	68629	41265
1249	68685	41211
1250	68739	41155
1251	68787	41096
1252	68842	41042
1253	68903	40990
1254	68953	40932
1255	69012	40880
1256	69072	40828
1257	69120	40769
1258	69179	40716
1259	69231	40659
1260	69299	40612
1261	69353	40557
1262	69410	40502
1263	69465	40448
1264	69519	40392
1265	69568	40334
1266	69619	40277
1267	69675	40223
1268	69724	40164
1269	69781	40110
1270	69833	40053
1271	69894	40002
1272	69956	39951
1273	70007	39894
1274	70065	39841
1275	70127	39789
1276	70174	39730
1277	70225	39673
1278	70295	39626
1279	70354	39574
1280	70412	39521
1281	70467	39466
1282	70524	39412
1283	70586	39361
1284	70647	39309
1285	70694	39250
1286	70745	39193
1287	70798	39137
1288	70849	39079
1289	70903	39024
1290	70955	38967
1291	71008	38911
1292	71067	38859
1293	71128	38807
1294	71176	38748
1295	71234	38695
1296	71284	38637
1297	71360	38594
1298	71432	38548
1299	71478	38488
1300	71534	38433
1301	71588	38378
1302	71649	38326
1303	71697	38268
1304	71757	38215
1305	71812	38160
1306	71866	38105
1307	71915	38047
1308	71966	37989
1309	72024	37936
1310	72086	37885
1311	72134	37826
1312	72187	37770
1313	72236	37712
1314	72286	37655
1315	72379	37619
1316	72436	37565
1317	72496	37513
1318	72556	37460
1319	72605	37402
1320	72665	37350
1321	72713	37292
1322	72768	37236
1323	72822	37181
1324	72871	37123
1325	72922	37066
1326	72979	37012
1327	73034	36957
1328	73071	36893
1329	73120	36834
1330	73175	36780
1331	73234	36727
1332	73288	36671
1333	73348	36619
1334	73501	36612
1335	73552	36555
1336	73605	36499
1337	73663	36446
1338	73724	36394
1339	73771	36335
1340	73825	36279
1341	73882	36225
1342	73936	36170
1343	73981	36110
1344	74039	36056
1345	74100	36004
1346	74150	35946
1347	74211	35894
1348	74260	35836
1349	74313	35780
1350	74371	35726
1351	74417	35667
1352	74498	35625
1353	74552	35569
1354	74604	35512
1355	74659	35457
1356	74708	35400
1357	74764	35345
1358	74813	35287
1359	74872	35234
1360	74927	35178
1361	74976	35121
1362	75021	35061
1363	75070	35003
1364	75120	34946
1365	75179	34892
1366	75240	34840
1367	75288	34782
1368	75343	34727
1369	75406	34675
1370	75455	34618
1371	75535	34574
1372	75600	34523
1373	75647	34465
1374	75705	34411
1375	75766	34359
1376	75811	34299
1377	75868	34245
1378	75915	34186
1379	75961	34127
1380	76011	34070
1381	76065	34014
1382	76117	33958
1383	76171	33903
1384	76229	33849
1385	76284	33794
1386	76344	33741
1387	76404	33688
1388	76453	33630
1389	76507	33575
1390	76579	33527
1391	76634	33472
1392	76688	33416
1393	76741	33361
1394	76800	33307
1395	76851	33251
1396	76903	33194
1397	76963	33141
1398	77017	33086
1399	77066	33028
1400	77115	32970
1401	77172	32916
1402	77234	32864
1403	77283	32806
1404	77341	32753
1405	77393	32696
1406	77446	32640
1407	77507	32588
1408	77560	32532
1409	77623	32480
1410	77681	32426
1411	77740	32373
1412	77791	32316
1413	77850	32263
1414	77911	32210
1415	77961	32153
1416	78014	32097
1417	78065	32040
1418	78113	31982
1419	78172	31929
1420	78233	31876
1421	78282	31819
1422	78335	31763
1423	78387	31707
1424	78442	31652
1425	78493	31595
1426	78555	31543
1427	78670	31512
1428	78722	31455
1429	78779	31401
1430	78837	31347
1431	78891	31292
1432	78937	31233
1433	78984	31175
1434	79036	31118
1435	79092	31064
1436	79143	31007
1437	79196	30951
1438	79246	30894
1439	79304	30840
1440	79358	30785
1441	79408	30728
1442	79466	30674
1443	79520	30618
1444	79573	30562
1445	79622	30505
1446	79698	30458
1447	79759	30405
1448	79813	30350
1449	79864	30293
1450	79923	30239
1451	79974	30183
1452	80037	30131
1453	80090	30075
1454	80150	30021
1455	80200	29964
1456	80251	29908
1457	80302	29852
1458	80359	29797
1459	80418	29743
1460	80468	29686
1461	80517	29629
1462	80573	29574
1463	80631	29520
1464	80709	29474
